CrowdSize,Area,Density,Exits,EventType,Risk,EventName
15895,1060,14.995283018867925,8,0,1,Synthetic
11384,5934,1.9184361307718234,3,2,0,Synthetic
4526,5778,0.7833160263066805,8,0,0,Synthetic
11463,8522,1.3451067824454352,6,0,0,Synthetic
869,7149,0.12155546230241993,2,0,0,Synthetic
17668,4755,3.7156677181913773,6,0,0,Synthetic
8766,9474,0.9252691576947435,3,2,0,Synthetic
1367,1728,0.7910879629629629,3,0,0,Synthetic
3990,9038,0.44146935162646606,5,0,0,Synthetic
14602,5593,2.6107634543178975,4,0,0,Synthetic
10655,8633,1.2342175373566546,9,1,0,Synthetic
2712,7241,0.3745339041568844,4,2,0,Synthetic
15887,975,16.294358974358975,3,1,1,Synthetic
3252,1785,1.8218487394957983,8,1,0,Synthetic
1121,4043,0.27726935443977246,6,0,0,Synthetic
13090,7073,1.8506998444790046,2,1,0,Synthetic
1095,7829,0.13986460595222888,7,0,0,Synthetic
8629,1078,8.004638218923933,5,1,1,Synthetic
6431,8771,0.7332117204423669,9,0,0,Synthetic
18546,264,70.25,9,2,1,Synthetic
2668,5663,0.4711283771852375,1,2,0,Synthetic
5358,5818,0.9209350292196631,1,2,0,Synthetic
12766,6092,2.0955351280367696,7,1,0,Synthetic
6284,3299,1.9048196423158532,7,0,0,Synthetic
13167,3304,3.985169491525424,7,2,0,Synthetic
11937,9196,1.2980643758155719,3,1,0,Synthetic
9862,5256,1.876331811263318,3,0,0,Synthetic
8210,4040,2.032178217821782,5,1,0,Synthetic
602,7110,0.08466947960618847,7,2,0,Synthetic
306,5334,0.05736782902137233,3,2,0,Synthetic
17347,2990,5.8016722408026755,1,0,1,Synthetic
12483,6219,2.007235890014472,5,2,0,Synthetic
6474,7092,0.9128595600676819,4,0,0,Synthetic
16298,3357,4.8549299970211495,2,1,1,Synthetic
9889,2893,3.418250950570342,4,1,0,Synthetic
10273,5650,1.8182300884955753,7,0,0,Synthetic
11594,7592,1.5271338250790305,1,0,0,Synthetic
1406,6976,0.20154816513761467,4,0,0,Synthetic
9574,7726,1.2391923375614806,6,2,0,Synthetic
3848,863,4.458864426419467,6,0,1,Synthetic
18337,6785,2.702579218865144,4,1,0,Synthetic
11749,7754,1.5152179520247615,1,0,0,Synthetic
17182,4937,3.480251164674904,6,2,0,Synthetic
5955,7592,0.7843782929399368,1,2,0,Synthetic
14049,5449,2.5782712424298038,5,1,0,Synthetic
5891,5735,1.0272013949433305,7,2,0,Synthetic
302,4418,0.06835672249886826,1,2,0,Synthetic
4489,2527,1.776414721013059,5,1,0,Synthetic
297,7325,0.040546075085324235,1,0,0,Synthetic
9439,4482,2.105979473449353,6,0,0,Synthetic
17143,3011,5.693457323148456,4,2,1,Synthetic
2086,8538,0.24431951276645583,4,2,0,Synthetic
18327,8880,2.0638513513513512,1,2,0,Synthetic
2485,4936,0.5034440842787682,9,0,0,Synthetic
14357,5734,2.5038367631670737,3,2,0,Synthetic
14175,6487,2.1851395097888084,9,0,0,Synthetic
2149,5623,0.3821803307842789,5,0,0,Synthetic
7258,7600,0.955,3,2,0,Synthetic
15251,2455,6.212219959266802,3,1,1,Synthetic
12283,1848,6.646645021645021,8,1,1,Synthetic
15686,2757,5.689517591585056,9,2,1,Synthetic
2300,3161,0.7276178424549193,2,1,0,Synthetic
2969,1156,2.5683391003460208,9,0,0,Synthetic
5799,7144,0.8117301231802911,5,2,0,Synthetic
1318,4696,0.280664395229983,1,2,0,Synthetic
8150,3646,2.235326385079539,6,1,0,Synthetic
18177,3636,4.999174917491749,3,1,1,Synthetic
5995,3554,1.6868317388857625,2,0,0,Synthetic
7122,9351,0.7616297722168752,1,0,0,Synthetic
8096,9207,0.8793309438470729,3,2,0,Synthetic
11412,7879,1.4484071582688158,1,1,0,Synthetic
10816,1269,8.523246650906225,5,1,1,Synthetic
14534,1260,11.534920634920635,8,0,1,Synthetic
401,806,0.4975186104218362,3,0,0,Synthetic
290,1180,0.2457627118644068,7,0,0,Synthetic
19811,3594,5.512242626599889,2,0,1,Synthetic
669,5642,0.11857497341368309,8,1,0,Synthetic
3963,7655,0.5177008491182233,6,2,0,Synthetic
3109,8006,0.3883337496877342,2,1,0,Synthetic
884,8296,0.10655737704918032,9,2,0,Synthetic
12633,7543,1.674797825798754,7,0,0,Synthetic
5901,3006,1.9630738522954092,3,1,0,Synthetic
10747,8916,1.2053611484970839,7,0,0,Synthetic
12423,4980,2.494578313253012,4,0,0,Synthetic
12139,6855,1.7708242159008023,3,2,0,Synthetic
13503,6119,2.206733126327831,7,2,0,Synthetic
953,4346,0.21928209848136218,9,1,0,Synthetic
17058,1348,12.654302670623146,6,1,1,Synthetic
10007,4977,2.0106489853325296,6,2,0,Synthetic
15438,2691,5.736900780379041,5,0,1,Synthetic
14699,3324,4.422081829121541,5,2,0,Synthetic
976,9383,0.10401790472130448,4,1,0,Synthetic
4242,7166,0.5919620429807424,8,0,0,Synthetic
4565,835,5.467065868263473,3,0,1,Synthetic
8411,1030,8.166019417475729,3,1,1,Synthetic
14362,9761,1.47136563876652,5,1,0,Synthetic
8408,6149,1.3673768092372744,7,2,0,Synthetic
2031,9404,0.2159719268396427,1,1,0,Synthetic
16996,8005,2.1231730168644596,6,0,0,Synthetic
12875,7604,1.6931877958968964,5,0,0,Synthetic
3443,4270,0.8063231850117096,5,1,0,Synthetic
8230,3347,2.4589184344188824,3,0,0,Synthetic
7353,2944,2.497622282608696,5,2,0,Synthetic
13396,2341,5.722340879965826,4,0,1,Synthetic
11251,6817,1.6504327416752238,5,2,0,Synthetic
4552,6081,0.7485610919256701,6,0,0,Synthetic
2949,7590,0.3885375494071146,3,1,0,Synthetic
9923,9407,1.0548527692144147,5,0,0,Synthetic
4711,3039,1.550180980585719,7,1,0,Synthetic
16447,9287,1.7709701733606116,4,1,0,Synthetic
12038,2627,4.582413399314808,1,0,1,Synthetic
5152,2938,1.75357385976855,5,2,0,Synthetic
5636,4113,1.3702893265256504,2,0,0,Synthetic
2182,9167,0.23802770808334242,2,2,0,Synthetic
8908,4174,2.1341638715860087,4,1,0,Synthetic
5845,9908,0.5899273314493338,8,0,0,Synthetic
11757,6188,1.899967679379444,9,2,0,Synthetic
16148,1322,12.21482602118003,4,1,1,Synthetic
5204,2343,2.22108408023901,8,2,0,Synthetic
7457,3640,2.0486263736263735,7,0,0,Synthetic
10618,3114,3.409762363519589,9,1,0,Synthetic
13684,8987,1.522643818849449,9,1,0,Synthetic
798,7386,0.10804224207961008,1,0,0,Synthetic
7500,8282,0.9055783627143202,9,2,0,Synthetic
17201,2982,5.7682763246143525,4,2,1,Synthetic
5586,8535,0.654481546572935,5,0,0,Synthetic
4591,7392,0.6210768398268398,4,2,0,Synthetic
7751,3836,2.020594369134515,7,0,0,Synthetic
1162,2356,0.4932088285229202,5,1,0,Synthetic
11274,6741,1.6724521584334668,5,2,0,Synthetic
5434,9124,0.595572117492328,2,2,0,Synthetic
6831,7441,0.9180217712673028,1,0,0,Synthetic
11593,1742,6.654994259471872,8,1,1,Synthetic
19165,9609,1.9944843376001664,5,0,0,Synthetic
13907,9780,1.4219836400817996,1,1,0,Synthetic
8791,8902,0.9875308919343968,7,0,0,Synthetic
1424,9547,0.14915680318424637,4,1,0,Synthetic
19970,2010,9.935323383084578,6,2,1,Synthetic
15585,4468,3.4881378692927485,2,1,1,Synthetic
13216,9286,1.4232177471462417,9,2,0,Synthetic
19556,6730,2.9057949479940564,9,2,0,Synthetic
1631,7776,0.20974794238683128,8,0,0,Synthetic
5129,333,15.402402402402402,5,1,1,Synthetic
11103,5548,2.0012617159336696,4,2,0,Synthetic
13943,6390,2.182003129890454,9,0,0,Synthetic
5745,3686,1.5586001085187196,1,0,0,Synthetic
11929,8253,1.4454137889252394,3,2,0,Synthetic
7214,1553,4.645202833226014,8,1,0,Synthetic
767,4668,0.1643101970865467,8,1,0,Synthetic
13759,7019,1.9602507479697964,8,1,0,Synthetic
7583,739,10.261163734776725,5,0,1,Synthetic
4935,3975,1.241509433962264,6,2,0,Synthetic
7412,5520,1.3427536231884059,1,0,0,Synthetic
2879,1124,2.561387900355872,3,0,0,Synthetic
12777,5913,2.160832064941654,3,0,0,Synthetic
18322,209,87.66507177033493,8,1,1,Synthetic
5224,1215,4.299588477366255,1,1,1,Synthetic
2293,8615,0.2661636680208938,1,2,0,Synthetic
4258,4125,1.0322424242424242,1,0,0,Synthetic
18117,7466,2.426600589338334,1,0,0,Synthetic
8275,2200,3.7613636363636362,5,2,0,Synthetic
9960,6189,1.6093068347067379,3,0,0,Synthetic
3736,5009,0.7458574565781593,3,0,0,Synthetic
15544,7445,2.087844190732035,9,1,0,Synthetic
2148,4980,0.43132530120481927,4,1,0,Synthetic
4644,5176,0.8972179289026275,8,1,0,Synthetic
3519,7439,0.47304745261459874,7,1,0,Synthetic
16733,9065,1.8458907887479317,6,1,0,Synthetic
17254,4563,3.7812842428227045,1,1,1,Synthetic
8527,8780,0.9711845102505695,9,0,0,Synthetic
19298,3574,5.399552322327924,7,2,1,Synthetic
1352,7196,0.18788215675375208,2,2,0,Synthetic
15881,7081,2.242762321705974,6,1,0,Synthetic
8117,7141,1.1366755356392662,3,2,0,Synthetic
10309,1531,6.733507511430438,9,1,1,Synthetic
9650,5315,1.8156161806208844,7,1,0,Synthetic
10420,2380,4.378151260504202,4,1,0,Synthetic
19956,5649,3.5326606479022837,1,0,1,Synthetic
8041,5769,1.3938290864967933,3,2,0,Synthetic
17244,8030,2.1474470734744706,7,2,0,Synthetic
6190,6231,0.9934199967902423,8,0,0,Synthetic
18371,3466,5.300346220427005,2,0,1,Synthetic
11414,7770,1.468983268983269,5,0,0,Synthetic
12991,4977,2.610206951979104,6,0,0,Synthetic
7081,6576,1.076794403892944,2,0,0,Synthetic
14224,7440,1.9118279569892473,9,2,0,Synthetic
5340,6693,0.7978484984311968,1,1,0,Synthetic
13668,1476,9.260162601626016,4,2,1,Synthetic
402,838,0.4797136038186158,8,1,0,Synthetic
8817,8350,1.055928143712575,8,1,0,Synthetic
16848,7009,2.4037665858182335,8,2,0,Synthetic
5226,5322,0.9819616685456595,7,1,0,Synthetic
5970,1731,3.448873483535529,2,1,1,Synthetic
6982,2106,3.315289648622982,9,2,0,Synthetic
12872,9105,1.413728720483251,7,0,0,Synthetic
